date,KOSPI,SP500,VIX,US10,KR10,GOLD,CRUDE_W,NIKKEI,EUROSTX
2002-09-27,,969.0,,62.85938500000003,,873.4999999999995,2.030000000000008,,
2002-09-30,,958.75,,63.49219750000003,,877.6999999999996,1.960000000000008,,
2002-10-01,,997.75,,62.80469750000003,,874.6999999999996,2.230000000000004,,
2002-10-02,,974.25,,62.85157250000003,,875.2999999999995,2.030000000000008,,
2002-10-03,,964.25,,62.92188500000003,,874.8999999999995,1.3900000000000077,,
2002-10-04,,949.5,,62.96876000000003,,875.7999999999995,1.270000000000007,,
2002-10-07,,932.25,,63.31251000000003,,875.5999999999996,1.3900000000000077,,
2002-10-08,,944.75,,63.17188500000003,,871.8999999999995,1.260000000000009,,
2002-10-09,,921.5,,63.74219750000003,,873.2999999999995,1.2000000000000064,,
2002-10-10,,946.75,,63.28907250000003,,869.8999999999995,0.8200000000000074,,
2002-10-11,,982.25,,62.39063500000003,,869.6999999999996,1.1800000000000068,,
2002-10-14,,985.25,,,,871.0999999999996,1.720000000000006,,
2002-10-15,,1026.5,,60.89063500000003,,865.8999999999995,1.510000000000009,,
2002-10-16,,1006.0,,60.71094750000003,,867.1999999999996,1.4300000000000104,,
2002-10-17,,1022.75,,60.14063500000003,,864.6999999999996,1.580000000000009,,
2002-10-18,,1027.0,,60.27344750000003,,865.7999999999995,1.5400000000000098,,
2002-10-21,,1042.5,,59.71876000000003,,863.9999999999995,1.120000000000008,,
2002-10-22,,1035.25,,59.63282250000003,,866.0999999999996,1.2200000000000095,,
2002-10-23,,1042.0,,59.71094750000003,,865.0999999999996,1.20000000000001,,
2002-10-24,,1024.25,,60.31251000000003,,863.6999999999996,1.1300000000000097,,
2002-10-25,,1042.5,,60.71876000000003,,866.3999999999995,0.3800000000000096,,
2002-10-28,,1035.5,,60.94532250000003,,868.0999999999996,0.7700000000000102,,
2002-10-29,,1025.25,,61.96876000000003,,870.5999999999996,0.4200000000000088,,
2002-10-30,,1033.5,,61.85157250000003,,869.3999999999995,0.5900000000000105,,
2002-10-31,,1029.25,,62.30469750000003,,870.8999999999995,0.6900000000000084,,
2002-11-01,,1042.25,,61.83594750000003,,871.6999999999996,0.4700000000000095,,
2002-11-04,,1051.25,,61.39063500000003,,871.1999999999996,0.3400000000000105,,
2002-11-05,,1057.75,,61.21094750000003,,871.0999999999996,0.2800000000000082,,
2002-11-06,,1069.5,,61.42188500000003,,870.3999999999995,0.1700000000000088,,
2002-11-07,,1046.25,,62.35938500000003,,873.3999999999995,-0.0199999999999924,,
2002-11-08,,1035.25,,62.63282250000003,,874.1999999999996,0.0200000000000102,,
2002-11-11,,1021.5,,,,874.0999999999996,0.1200000000000081,,
2002-11-12,,1028.5,,62.66407250000003,,877.1999999999996,0.1400000000000076,,
2002-11-13,,1029.5,,62.85157250000003,,871.3999999999995,-0.1299999999999919,,
2002-11-14,,1046.25,,61.53126000000003,,870.5999999999996,0.0100000000000086,,
2002-11-15,,1052.75,,61.31251000000003,,873.3999999999995,0.1900000000000083,,
2002-11-18,,1043.75,,61.49219750000003,,871.8999999999995,0.8600000000000101,,
2002-11-19,,1041.75,,61.71876000000003,,871.2999999999995,0.5000000000000107,,
2002-11-20,,1062.5,,60.91407250000003,,870.0999999999996,0.8100000000000094,,
2002-11-21,,1079.25,,60.44532250000003,,870.0999999999996,0.8200000000000074,,
2002-11-22,,1072.5,,60.24219750000003,,873.3999999999995,0.9100000000000072,,
2002-11-25,,1073.5,,60.24219750000003,,870.3999999999995,0.5200000000000102,,
2002-11-26,,1055.25,,61.03126000000003,,870.1999999999996,0.830000000000009,,
2002-11-27,,1081.75,,59.71876000000003,,869.2999999999995,0.9300000000000104,,
2002-11-29,,1079.75,,60.05469750000003,,,,,
2002-12-02,,1079.0,,59.92188500000003,,870.0999999999996,0.95000000000001,,
2002-12-03,,1067.5,,59.85157250000003,,872.7999999999995,1.0400000000000098,,
2002-12-04,,1062.75,,60.32813500000003,,874.6999999999996,0.7500000000000107,,
2002-12-05,,1052.25,,60.77344750000003,,877.1999999999996,1.1700000000000088,,
2002-12-06,,1057.5,,61.16407250000003,,878.6999999999996,1.0900000000000103,,
2002-12-09,,1033.25,,61.53126000000003,,878.0999999999996,1.1900000000000084,,
2002-12-10,,1045.75,,61.57813500000003,,875.7999999999995,1.510000000000009,,
2002-12-11,,1046.0,,62.00001000000003,,877.0999999999996,1.1000000000000083,,
2002-12-12,,1045.75,,61.96876000000003,,883.6999999999996,1.4200000000000088,,
2002-12-13,,1031.25,,61.64844750000003,,885.3999999999996,1.36000000000001,,
2002-12-16,,1054.25,,61.14844750000003,,889.1999999999996,2.0400000000000063,,
2002-12-17,,1046.75,,61.38282250000003,,889.5999999999996,1.760000000000009,,
2002-12-18,,1036.25,,61.92188500000003,,894.2999999999995,1.86000000000001,,
2002-12-19,,1029.5,,62.69532250000003,,898.0999999999996,1.7700000000000102,,
2002-12-20,,1041.5,,62.71876000000003,,892.5999999999996,1.5400000000000098,,
2002-12-23,,1041.75,,62.66407250000003,,897.1999999999996,1.8800000000000097,,
2002-12-24,,1036.25,,63.05469750000003,,898.8999999999996,1.620000000000008,,
2002-12-26,,1035.5,,63.17188500000003,,900.9999999999995,1.970000000000013,,
2002-12-27,,1016.5,,63.96876000000003,,901.2999999999996,1.8800000000000097,,
2002-12-30,,1022.25,,64.21094750000003,,895.6999999999996,1.2300000000000075,,
2002-12-31,,1023.75,,63.99219750000003,,899.7999999999995,1.4800000000000075,,
2003-01-02,,1052.25,,62.35157250000003,,898.0999999999996,1.510000000000009,,
2003-01-03,,1054.75,,62.38282250000003,,903.1999999999996,1.940000000000012,,
2003-01-06,,1071.25,,62.17188500000003,,903.6999999999996,1.5400000000000098,,
2003-01-07,,1068.5,,62.46876000000003,,899.2999999999995,1.7900000000000098,,
2003-01-08,,1054.75,,62.77344750000003,,905.8999999999996,1.870000000000008,,
2003-01-09,,1069.5,,61.53126000000003,,905.2999999999996,2.0700000000000074,,
2003-01-10,,1071.25,,61.50001000000003,,906.4999999999995,1.8800000000000097,,
2003-01-13,,1071.25,,61.78126000000003,,906.6999999999996,2.3300000000000125,,
2003-01-14,,1074.0,,62.16407250000003,,903.9999999999995,2.6500000000000057,,
2003-01-15,,1065.75,,62.27344750000003,,902.6999999999996,2.730000000000004,,
2003-01-16,,1061.25,,62.25001000000003,,909.6999999999996,2.8800000000000097,,
2003-01-17,,1047.75,,62.75001000000003,,908.3999999999996,3.0800000000000125,,
2003-01-21,,1033.25,,63.00001000000003,,909.0999999999996,2.990000000000009,,
2003-01-22,,1022.25,,63.49219750000003,,911.4999999999995,3.0800000000000125,,
2003-01-23,,1027.75,,63.30469750000003,,916.2999999999996,3.0400000000000063,,
2003-01-24,,1005.0,,63.63282250000003,,919.9999999999995,3.440000000000012,,
2003-01-27,,992.0,,63.25001000000003,,920.9999999999995,3.1100000000000136,,
2003-01-28,,999.25,,63.10157250000003,,921.5999999999996,3.5400000000000063,,
